Project,Category,Value
Staten Island West Shore Bus Rapid Transit Korean War Veterans Pkwy,Network leverage score,33
Staten Island West Shore Bus Rapid Transit Korean War Veterans Pkwy,Cost: Guideway and Track Elements,"$293,318,000 "
Staten Island West Shore Bus Rapid Transit Korean War Veterans Pkwy,"Cost: Stations, Stops, Terminals, Intermodal","$54,008,000 "
Staten Island West Shore Bus Rapid Transit Korean War Veterans Pkwy,Cost: Support Facilities,$0 
Staten Island West Shore Bus Rapid Transit Korean War Veterans Pkwy,Cost: Sitework and Special Considerations,"$445,414,000 "
Staten Island West Shore Bus Rapid Transit Korean War Veterans Pkwy,Cost: Systems,"$18,208,000 "
Staten Island West Shore Bus Rapid Transit Korean War Veterans Pkwy,Cost: Engineering Contingency,"$143,108,000 "
Staten Island West Shore Bus Rapid Transit Korean War Veterans Pkwy,"Cost: Right-of-Way (ROW), Land, and Existing Improvements",$0 
Staten Island West Shore Bus Rapid Transit Korean War Veterans Pkwy,Cost: Professional Services,"$243,284,000 "
Staten Island West Shore Bus Rapid Transit Korean War Veterans Pkwy,Cost: Contingency,"$190,811,000 "
Staten Island West Shore Bus Rapid Transit Korean War Veterans Pkwy,Cost: Original Estimate Year,2020
Staten Island West Shore Bus Rapid Transit Korean War Veterans Pkwy,Cost: Escalation from original estimate year to Q1 2022 (varies),"$161,720,000 "
Staten Island West Shore Bus Rapid Transit Korean War Veterans Pkwy,Cost: Escalation from Q1 2022 to Q3 2027,"$322,826,000 "
Staten Island West Shore Bus Rapid Transit Korean War Veterans Pkwy,Cost: Escalation from Q1 2023 to Q3 2027,N/A
Staten Island West Shore Bus Rapid Transit Korean War Veterans Pkwy,Network Leverage: % on MTA Right of Way,0%
Staten Island West Shore Bus Rapid Transit Korean War Veterans Pkwy,Network Leverage: % on Public Right of Way,100%
Staten Island West Shore Bus Rapid Transit Korean War Veterans Pkwy,Network Leverage: % on Private Right of Way,0%
Stewart Airport Commuter Rail,Description,"Implementation of new or improved transit service to Stewart International Airport. Several alternatives were analyzed, as listed below, although the Evaluation results on this page correspond to the Commuter Rail option. (Bus from Beacon Station on the Metro-North Hudson Line, Direct bus service from NYC, Commuter rail extension from Salisbury Mill on the Port Jervis Line, Bus Rapid Transit from Salisbury Mills)"
Stewart Airport Commuter Rail,Objectives,"Improve mobility and transit access between Orange County, Stewart International Airport and surrounding regions, Lower Hudson Valley, and New York City and reduce traffic and vehicle emissions to/from the airport."
Stewart Airport Commuter Rail,Total Construction Cost ($2027),"$1,400,000,000 "
Stewart Airport Commuter Rail,Cost: Vehicles ($2027),"$461,244,000 "
Stewart Airport Commuter Rail,Annual O&M Cost ($2027),"$43,000,000 "
Stewart Airport Commuter Rail,Daily Riders (2045),"4,300"
Stewart Airport Commuter Rail,New Daily Riders (2045),"1,900"
Stewart Airport Commuter Rail,Equity Area Riders (2045),"3,260"
Stewart Airport Commuter Rail,Travel Time Saved Per Trip (minutes),7.9
Stewart Airport Commuter Rail,Cost/Time Saved metric,Cost/minute
Stewart Airport Commuter Rail,Cost/Time Saved result,$10.65 
Stewart Airport Commuter Rail,Cost/Time Saved score,26
Stewart Airport Commuter Rail,Equity metric,Percent
Stewart Airport Commuter Rail,Equity result,75.00%
Stewart Airport Commuter Rail,Equity score,68
Stewart Airport Commuter Rail,Sustainability metric,Change in daily vehicle miles traveled
Stewart Airport Commuter Rail,Sustainability result,"-117,472"
Stewart Airport Commuter Rail,Sustainability score,100
Stewart Airport Commuter Rail,Resiliency metric,Number of Rail Connections
Stewart Airport Commuter Rail,Resiliency result,1
Stewart Airport Commuter Rail,Resiliency score,6
Stewart Airport Commuter Rail,Capacity metric,Change in passenger hours
Stewart Airport Commuter Rail,Capacity result,3
Stewart Airport Commuter Rail,Capacity score,0
Stewart Airport Commuter Rail,Geographic distribution metric,Change in hours
Stewart Airport Commuter Rail,Geographic distribution result,"20,392"
Stewart Airport Commuter Rail,Geographic distribution score,0
Stewart Airport Commuter Rail,Network leverage metric,Percent
Stewart Airport Commuter Rail,Network leverage result,0.3
Stewart Airport Commuter Rail,Network leverage score,7
Stewart Airport Commuter Rail,Cost: Guideway and Track Elements,"$157,068,000 "
Stewart Airport Commuter Rail,"Cost: Stations, Stops, Terminals, Intermodal","$30,437,000 "
Stewart Airport Commuter Rail,Cost: Support Facilities,$0 
Stewart Airport Commuter Rail,Cost: Sitework and Special Considerations,"$212,460,000 "
Stewart Airport Commuter Rail,Cost: Systems,"$14,348,000 "
Stewart Airport Commuter Rail,Cost: Engineering Contingency,"$73,114,000 "
Stewart Airport Commuter Rail,"Cost: Right-of-Way (ROW), Land, and Existing Improvements","$6,000,000 "
Stewart Airport Commuter Rail,Cost: Professional Services,"$210,909,000 "
Stewart Airport Commuter Rail,Cost: Contingency,"$97,485,000 "
Stewart Airport Commuter Rail,Cost: Original Estimate Year,2010
Stewart Airport Commuter Rail,Cost: Escalation from original estimate year to Q1 2022 (varies),"$353,202,000 "
Stewart Airport Commuter Rail,Cost: Escalation from Q1 2022 to Q3 2027,"$240,582,000 "
Stewart Airport Commuter Rail,Cost: Escalation from Q1 2023 to Q3 2027,N/A
Stewart Airport Commuter Rail,Network Leverage: % on MTA Right of Way,0%
Stewart Airport Commuter Rail,Network Leverage: % on Public Right of Way,20%
Stewart Airport Commuter Rail,Network Leverage: % on Private Right of Way,80%
Sunnyside Station (LIRR),Description,Construction of a new Long Island Rail Road station in Sunnyside/Long Island City area
Sunnyside Station (LIRR),Objectives,Improve connectivity for Sunnyside and Long Island City neighborhoods to the existing network.
Sunnyside Station (LIRR),Total Construction Cost ($2027),"$490,000,000 "
Sunnyside Station (LIRR),Cost: Vehicles ($2027),N/A
Sunnyside Station (LIRR),Annual O&M Cost ($2027),"$2,000,000 "
Sunnyside Station (LIRR),Daily Riders (2045),"7,900"
Sunnyside Station (LIRR),New Daily Riders (2045),900
Sunnyside Station (LIRR),Equity Area Riders (2045),"5,120"
Sunnyside Station (LIRR),Travel Time Saved Per Trip (minutes),1.6
Sunnyside Station (LIRR),Cost/Time Saved metric,Cost/minute
Sunnyside Station (LIRR),Cost/Time Saved result,No Time Saved
Sunnyside Station (LIRR),Cost/Time Saved score,0
Sunnyside Station (LIRR),Equity metric,Percent
Sunnyside Station (LIRR),Equity result,65.00%
Sunnyside Station (LIRR),Equity score,55
Sunnyside Station (LIRR),Sustainability metric,Change in daily vehicle miles traveled
Sunnyside Station (LIRR),Sustainability result,"-15,006"
Sunnyside Station (LIRR),Sustainability score,38
Sunnyside Station (LIRR),Resiliency metric,Number of Rail Connections
Sunnyside Station (LIRR),Resiliency result,6
Sunnyside Station (LIRR),Resiliency score,33
Sunnyside Station (LIRR),Capacity metric,Change in passenger hours
Sunnyside Station (LIRR),Capacity result,"1,216"
Sunnyside Station (LIRR),Capacity score,0
Sunnyside Station (LIRR),Geographic distribution metric,Change in hours
Sunnyside Station (LIRR),Geographic distribution result,"-246,220"
Sunnyside Station (LIRR),Geographic distribution score,100
Sunnyside Station (LIRR),Network leverage metric,Percent
Sunnyside Station (LIRR),Network leverage result,0.38
Sunnyside Station (LIRR),Network leverage score,17
Sunnyside Station (LIRR),Cost: Guideway and Track Elements,"$20,455,000 "
Sunnyside Station (LIRR),"Cost: Stations, Stops, Terminals, Intermodal","$51,568,000 "
Sunnyside Station (LIRR),Cost: Support Facilities,$0 
Sunnyside Station (LIRR),Cost: Sitework and Special Considerations,"$90,330,000 "
Sunnyside Station (LIRR),Cost: Systems,"$24,751,000 "
Sunnyside Station (LIRR),Cost: Engineering Contingency,"$33,018,000 "
Sunnyside Station (LIRR),"Cost: Right-of-Way (ROW), Land, and Existing Improvements",$0 
Sunnyside Station (LIRR),Cost: Professional Services,"$171,695,000 "
Sunnyside Station (LIRR),Cost: Contingency,"$44,024,000 "
Sunnyside Station (LIRR),Cost: Original Estimate Year,2023
Sunnyside Station (LIRR),Cost: Escalation from original estimate year to Q1 2022 (varies),$0 
Sunnyside Station (LIRR),Cost: Escalation from Q1 2022 to Q3 2027,$0 
Sunnyside Station (LIRR),Cost: Escalation from Q1 2023 to Q3 2027,"$58,197,000 "
Sunnyside Station (LIRR),Network Leverage: % on MTA Right of Way,0%
Sunnyside Station (LIRR),Network Leverage: % on Public Right of Way,50%
Sunnyside Station (LIRR),Network Leverage: % on Private Right of Way,50%
Utica Alt A: BRT (Kings Plaza to Woodhull Hospital),Description,"Implementation of enhanced transit services along the Utica Avenue Corridor in southeast Brooklyn by considering several options, with subway improvements as part of the baseline. Alternative A consists of a Bus Rapid Transit route between Kings Plaza and Woodhull Hospital, with center running BRT lanes and stations."
Utica Alt A: BRT (Kings Plaza to Woodhull Hospital),Objectives,"Improve travel options for intra- and inter-borough travelers in underserved communities to activity centers; provides opportunities for development and growth near stations; address major bottlenecks and enhances service for existing customers of the 2 3 4 5 lines as well as the B46 local and B46-SBS bus customers, one of the city’s busiest bus corridors."
Utica Alt A: BRT (Kings Plaza to Woodhull Hospital),Total Construction Cost ($2027),"$300,000,000 "
Utica Alt A: BRT (Kings Plaza to Woodhull Hospital),Cost: Vehicles ($2027),N/A
Utica Alt A: BRT (Kings Plaza to Woodhull Hospital),Annual O&M Cost ($2027),"$6,000,000 "
Utica Alt A: BRT (Kings Plaza to Woodhull Hospital),Daily Riders (2045),"71,900"
Utica Alt A: BRT (Kings Plaza to Woodhull Hospital),New Daily Riders (2045),"3,900"
Utica Alt A: BRT (Kings Plaza to Woodhull Hospital),Equity Area Riders (2045),"67,810"
Utica Alt A: BRT (Kings Plaza to Woodhull Hospital),Travel Time Saved Per Trip (minutes),3.9
Utica Alt A: BRT (Kings Plaza to Woodhull Hospital),Cost/Time Saved metric,Cost/minute
Utica Alt A: BRT (Kings Plaza to Woodhull Hospital),Cost/Time Saved result,$0.36 
Utica Alt A: BRT (Kings Plaza to Woodhull Hospital),Cost/Time Saved score,100
Utica Alt A: BRT (Kings Plaza to Woodhull Hospital),Equity metric,Percent
Utica Alt A: BRT (Kings Plaza to Woodhull Hospital),Equity result,94.30%
Utica Alt A: BRT (Kings Plaza to Woodhull Hospital),Equity score,94
Utica Alt A: BRT (Kings Plaza to Woodhull Hospital),Sustainability metric,Change in daily vehicle miles traveled
Utica Alt A: BRT (Kings Plaza to Woodhull Hospital),Sustainability result,"-16,692"
Utica Alt A: BRT (Kings Plaza to Woodhull Hospital),Sustainability score,40
Utica Alt A: BRT (Kings Plaza to Woodhull Hospital),Resiliency metric,Number of Rail Connections
Utica Alt A: BRT (Kings Plaza to Woodhull Hospital),Resiliency result,6
Utica Alt A: BRT (Kings Plaza to Woodhull Hospital),Resiliency score,33
Utica Alt A: BRT (Kings Plaza to Woodhull Hospital),Capacity metric,Change in passenger hours
Utica Alt A: BRT (Kings Plaza to Woodhull Hospital),Capacity result,"3,674"
Utica Alt A: BRT (Kings Plaza to Woodhull Hospital),Capacity score,0
Utica Alt A: BRT (Kings Plaza to Woodhull Hospital),Geographic distribution metric,Change in hours
Utica Alt A: BRT (Kings Plaza to Woodhull Hospital),Geographic distribution result,"-6,484"
Utica Alt A: BRT (Kings Plaza to Woodhull Hospital),Geographic distribution score,24
Utica Alt A: BRT (Kings Plaza to Woodhull Hospital),Network leverage metric,Percent
Utica Alt A: BRT (Kings Plaza to Woodhull Hospital),Network leverage result,0.59
Utica Alt A: BRT (Kings Plaza to Woodhull Hospital),Network leverage score,45
Utica Alt A: BRT (Kings Plaza to Woodhull Hospital),Cost: Guideway and Track Elements,"$18,541,000 "
Utica Alt A: BRT (Kings Plaza to Woodhull Hospital),"Cost: Stations, Stops, Terminals, Intermodal","$22,529,000 "
Utica Alt A: BRT (Kings Plaza to Woodhull Hospital),Cost: Support Facilities,$0 
Utica Alt A: BRT (Kings Plaza to Woodhull Hospital),Cost: Sitework and Special Considerations,"$80,654,000 "
Utica Alt A: BRT (Kings Plaza to Woodhull Hospital),Cost: Systems,"$10,848,000 "
Utica Alt A: BRT (Kings Plaza to Woodhull Hospital),Cost: Engineering Contingency,"$23,395,000 "
Utica Alt A: BRT (Kings Plaza to Woodhull Hospital),"Cost: Right-of-Way (ROW), Land, and Existing Improvements",$0 
Utica Alt A: BRT (Kings Plaza to Woodhull Hospital),Cost: Professional Services,"$38,011,000 "
Utica Alt A: BRT (Kings Plaza to Woodhull Hospital),Cost: Contingency,"$29,755,000 "
Utica Alt A: BRT (Kings Plaza to Woodhull Hospital),Cost: Original Estimate Year,2020
Utica Alt A: BRT (Kings Plaza to Woodhull Hospital),Cost: Escalation from original estimate year to Q1 2022 (varies),"$26,065,000 "
Utica Alt A: BRT (Kings Plaza to Woodhull Hospital),Cost: Escalation from Q1 2022 to Q3 2027,"$52,031,000 "
Utica Alt A: BRT (Kings Plaza to Woodhull Hospital),Cost: Escalation from Q1 2023 to Q3 2027,N/A
Utica Alt A: BRT (Kings Plaza to Woodhull Hospital),Network Leverage: % on MTA Right of Way,17%
Utica Alt A: BRT (Kings Plaza to Woodhull Hospital),Network Leverage: % on Public Right of Way,83%
Utica Alt A: BRT (Kings Plaza to Woodhull Hospital),Network Leverage: % on Private Right of Way,0%
Utica Alt B: Subway to Kings Plaza,Description,"Implementation of enhanced transit services along the Utica Avenue Corridor in southeast Brooklyn by considering several options, with subway improvements as part of the baseline. Alternative B consists of a subway extension to Kings Plaza."
Utica Alt B: Subway to Kings Plaza,Objectives,"Improve travel options for intra- and inter-borough travelers in underserved communities to activity centers; provides opportunities for development and growth near stations; address major bottlenecks and enhances service for existing customers of the 2 3 4 5 lines as well as the B46 local and B46-SBS bus customers, one of the city’s busiest bus corridors."
Utica Alt B: Subway to Kings Plaza,Total Construction Cost ($2027),"$15,790,000,000 "
Utica Alt B: Subway to Kings Plaza,Cost: Vehicles ($2027),"$410,000,000 "
Utica Alt B: Subway to Kings Plaza,Annual O&M Cost ($2027),"$124,000,000 "
Utica Alt B: Subway to Kings Plaza,Daily Riders (2045),"55,600"
Utica Alt B: Subway to Kings Plaza,New Daily Riders (2045),"2,900"
Utica Alt B: Subway to Kings Plaza,Equity Area Riders (2045),"48,060"
Utica Alt B: Subway to Kings Plaza,Travel Time Saved Per Trip (minutes),9
Utica Alt B: Subway to Kings Plaza,Cost/Time Saved metric,Cost/minute
Utica Alt B: Subway to Kings Plaza,Cost/Time Saved result,$4.82 
Utica Alt B: Subway to Kings Plaza,Cost/Time Saved score,71
Utica Alt B: Subway to Kings Plaza,Equity metric,Percent
Utica Alt B: Subway to Kings Plaza,Equity result,86.40%
Utica Alt B: Subway to Kings Plaza,Equity score,83
Utica Alt B: Subway to Kings Plaza,Sustainability metric,Change in daily vehicle miles traveled
Utica Alt B: Subway to Kings Plaza,Sustainability result,"-30,917"
Utica Alt B: Subway to Kings Plaza,Sustainability score,55
Utica Alt B: Subway to Kings Plaza,Resiliency metric,Number of Rail Connections
Utica Alt B: Subway to Kings Plaza,Resiliency result,2
Utica Alt B: Subway to Kings Plaza,Resiliency score,11
Utica Alt B: Subway to Kings Plaza,Capacity metric,Change in passenger hours
Utica Alt B: Subway to Kings Plaza,Capacity result,"-3,364"
Utica Alt B: Subway to Kings Plaza,Capacity score,42
Utica Alt B: Subway to Kings Plaza,Geographic distribution metric,Change in hours
Utica Alt B: Subway to Kings Plaza,Geographic distribution result,"-13,184"
Utica Alt B: Subway to Kings Plaza,Geographic distribution score,51
Utica Alt B: Subway to Kings Plaza,Network leverage metric,Percent
Utica Alt B: Subway to Kings Plaza,Network leverage result,0.59
Utica Alt B: Subway to Kings Plaza,Network leverage score,45
Utica Alt B: Subway to Kings Plaza,Cost: Guideway and Track Elements,"$2,751,456,000 "
Utica Alt B: Subway to Kings Plaza,"Cost: Stations, Stops, Terminals, Intermodal","$981,346,000 "
Utica Alt B: Subway to Kings Plaza,Cost: Support Facilities,"$78,643,000 "
Utica Alt B: Subway to Kings Plaza,Cost: Sitework and Special Considerations,"$2,928,686,000 "
Utica Alt B: Subway to Kings Plaza,Cost: Systems,"$49,612,000 "
Utica Alt B: Subway to Kings Plaza,Cost: Engineering Contingency,"$1,198,190,000 "
Utica Alt B: Subway to Kings Plaza,"Cost: Right-of-Way (ROW), Land, and Existing Improvements","$81,900,000 "
Utica Alt B: Subway to Kings Plaza,Cost: Professional Services,"$2,035,162,000 "
Utica Alt B: Subway to Kings Plaza,Cost: Contingency,"$1,596,148,000 "
Utica Alt B: Subway to Kings Plaza,Cost: Original Estimate Year,2020
Utica Alt B: Subway to Kings Plaza,Cost: Escalation from original estimate year to Q1 2022 (varies),"$1,363,183,000 "
Utica Alt B: Subway to Kings Plaza,Cost: Escalation from Q1 2022 to Q3 2027,"$2,721,195,000 "
Utica Alt B: Subway to Kings Plaza,Cost: Escalation from Q1 2023 to Q3 2027,N/A
Utica Alt B: Subway to Kings Plaza,Network Leverage: % on MTA Right of Way,17%
Utica Alt B: Subway to Kings Plaza,Network Leverage: % on Public Right of Way,83%
Utica Alt B: Subway to Kings Plaza,Network Leverage: % on Private Right of Way,0%
Utica Alt C: Subway to Church Avenue and BRT,Description,"Implementation of enhanced transit services along the Utica Avenue Corridor in southeast Brooklyn by considering several options, with subway improvements as part of the baseline. Alternative C consists of a subway extension to Church Avenue and a Bus Rapid Transit route between Kings Plaza and Woodhull Hospital."
Utica Alt C: Subway to Church Avenue and BRT,Objectives,"Improve travel options for intra- and inter-borough travelers in underserved communities to activity centers; provides opportunities for development and growth near stations; address major bottlenecks and enhances service for existing customers of the 2 3 4 5 Lines as well as the B46 local and B46-SBS bus customers, one of the city’s busiest bus corridors."
Utica Alt C: Subway to Church Avenue and BRT,Total Construction Cost ($2027),"$6,860,000,000 "
Utica Alt C: Subway to Church Avenue and BRT,Cost: Vehicles ($2027),"$190,000,000 "
Utica Alt C: Subway to Church Avenue and BRT,Annual O&M Cost ($2027),"$47,000,000 "
Utica Alt C: Subway to Church Avenue and BRT,Daily Riders (2045),"81,200"
Utica Alt C: Subway to Church Avenue and BRT,New Daily Riders (2045),"7,300"
Utica Alt C: Subway to Church Avenue and BRT,Equity Area Riders (2045),"75,680"
Utica Alt C: Subway to Church Avenue and BRT,Travel Time Saved Per Trip (minutes),7.3
Utica Alt C: Subway to Church Avenue and BRT,Cost/Time Saved metric,Cost/minute
Utica Alt C: Subway to Church Avenue and BRT,Cost/Time Saved result,$1.73 
Utica Alt C: Subway to Church Avenue and BRT,Cost/Time Saved score,94
Utica Alt C: Subway to Church Avenue and BRT,Equity metric,Percent
Utica Alt C: Subway to Church Avenue and BRT,Equity result,93.20%
Utica Alt C: Subway to Church Avenue and BRT,Equity score,92
Utica Alt C: Subway to Church Avenue and BRT,Sustainability metric,Change in daily vehicle miles traveled
Utica Alt C: Subway to Church Avenue and BRT,Sustainability result,"-39,094"
Utica Alt C: Subway to Church Avenue and BRT,Sustainability score,64
Utica Alt C: Subway to Church Avenue and BRT,Resiliency metric,Number of Rail Connections
Utica Alt C: Subway to Church Avenue and BRT,Resiliency result,6
Utica Alt C: Subway to Church Avenue and BRT,Resiliency score,33
Utica Alt C: Subway to Church Avenue and BRT,Capacity metric,Change in passenger hours
Utica Alt C: Subway to Church Avenue and BRT,Capacity result,"-4,121"
Utica Alt C: Subway to Church Avenue and BRT,Capacity score,51
Utica Alt C: Subway to Church Avenue and BRT,Geographic distribution metric,Change in hours
Utica Alt C: Subway to Church Avenue and BRT,Geographic distribution result,"-12,715"
Utica Alt C: Subway to Church Avenue and BRT,Geographic distribution score,49
Utica Alt C: Subway to Church Avenue and BRT,Network leverage metric,Percent
Utica Alt C: Subway to Church Avenue and BRT,Network leverage result,0.59
Utica Alt C: Subway to Church Avenue and BRT,Network leverage score,45
Utica Alt C: Subway to Church Avenue and BRT,Cost: Guideway and Track Elements,"$1,654,670,000 "
Utica Alt C: Subway to Church Avenue and BRT,"Cost: Stations, Stops, Terminals, Intermodal","$262,361,000 "
Utica Alt C: Subway to Church Avenue and BRT,Cost: Support Facilities,"$20,760,000 "
Utica Alt C: Subway to Church Avenue and BRT,Cost: Sitework and Special Considerations,"$1,003,976,000 "
Utica Alt C: Subway to Church Avenue and BRT,Cost: Systems,"$17,857,000 "
Utica Alt C: Subway to Church Avenue and BRT,Cost: Engineering Contingency,"$522,286,000 "
Utica Alt C: Subway to Church Avenue and BRT,"Cost: Right-of-Way (ROW), Land, and Existing Improvements","$23,400,000 "
Utica Alt C: Subway to Church Avenue and BRT,Cost: Professional Services,"$886,126,000 "
Utica Alt C: Subway to Church Avenue and BRT,Cost: Contingency,"$694,944,000 "
Utica Alt C: Subway to Church Avenue and BRT,Cost: Original Estimate Year,2020
Utica Alt C: Subway to Church Avenue and BRT,Cost: Escalation from original estimate year to Q1 2022 (varies),"$592,564,000 "
Utica Alt C: Subway to Church Avenue and BRT,Cost: Escalation from Q1 2022 to Q3 2027,"$1,182,879,000 "
Utica Alt C: Subway to Church Avenue and BRT,Cost: Escalation from Q1 2023 to Q3 2027,N/A
Utica Alt C: Subway to Church Avenue and BRT,Network Leverage: % on MTA Right of Way,17%
Utica Alt C: Subway to Church Avenue and BRT,Network Leverage: % on Public Right of Way,83%
Utica Alt C: Subway to Church Avenue and BRT,Network Leverage: % on Private Right of Way,0%
Utica Nostrand Junction Capacity Improvement,Description,"Construction of subway improvements, including three new crossovers at the Brooklyn IRT (numbered lines) terminals and extended storage tracks south of Crown Heights-Utica Av to alleviate the Nostrand Junction chokepoint and improve service"
Utica Nostrand Junction Capacity Improvement,Objectives,"Boost service reliability and capacity by mitigating congestion issues at Nostrand Junction. Addresses major bottlenecks, enhance operations, and reliability. Increase service capacity for existing customers of the 2 3 4 5 lines not just in Brooklyn, but also in Manhattan and the Bronx."
Utica Nostrand Junction Capacity Improvement,Total Construction Cost ($2027),"$410,000,000 "
Utica Nostrand Junction Capacity Improvement,Cost: Vehicles ($2027),"$230,000,000 "
Utica Nostrand Junction Capacity Improvement,Annual O&M Cost ($2027),"$24,000,000 "
Utica Nostrand Junction Capacity Improvement,Daily Riders (2045),"319,900"
Utica Nostrand Junction Capacity Improvement,New Daily Riders (2045),"8,700"
Utica Nostrand Junction Capacity Improvement,Equity Area Riders (2045),"295,080"
Utica Nostrand Junction Capacity Improvement,Travel Time Saved Per Trip (minutes),1.7
Utica Nostrand Junction Capacity Improvement,Cost/Time Saved metric,Cost/minute
Utica Nostrand Junction Capacity Improvement,Cost/Time Saved result,$0.28 
Utica Nostrand Junction Capacity Improvement,Cost/Time Saved score,100
Utica Nostrand Junction Capacity Improvement,Equity metric,Percent
Utica Nostrand Junction Capacity Improvement,Equity result,92.30%
Utica Nostrand Junction Capacity Improvement,Equity score,91
Utica Nostrand Junction Capacity Improvement,Sustainability metric,Change in daily vehicle miles traveled
Utica Nostrand Junction Capacity Improvement,Sustainability result,"-55,752"
Utica Nostrand Junction Capacity Improvement,Sustainability score,82
Utica Nostrand Junction Capacity Improvement,Resiliency metric,Number of Rail Connections
Utica Nostrand Junction Capacity Improvement,Resiliency result,2
Utica Nostrand Junction Capacity Improvement,Resiliency score,11
Utica Nostrand Junction Capacity Improvement,Capacity metric,Change in passenger hours
Utica Nostrand Junction Capacity Improvement,Capacity result,"-13,078"
Utica Nostrand Junction Capacity Improvement,Capacity score,100
Utica Nostrand Junction Capacity Improvement,Geographic distribution metric,Change in hours
Utica Nostrand Junction Capacity Improvement,Geographic distribution result,"-43,841"
Utica Nostrand Junction Capacity Improvement,Geographic distribution score,100
Utica Nostrand Junction Capacity Improvement,Network leverage metric,Percent
Utica Nostrand Junction Capacity Improvement,Network leverage result,1
Utica Nostrand Junction Capacity Improvement,Network leverage score,100
Utica Nostrand Junction Capacity Improvement,Cost: Guideway and Track Elements,$0 
Utica Nostrand Junction Capacity Improvement,"Cost: Stations, Stops, Terminals, Intermodal",$0 
Utica Nostrand Junction Capacity Improvement,Cost: Support Facilities,$0 
Utica Nostrand Junction Capacity Improvement,Cost: Sitework and Special Considerations,"$139,262,000 "
Utica Nostrand Junction Capacity Improvement,Cost: Systems,$0 
Utica Nostrand Junction Capacity Improvement,Cost: Engineering Contingency,"$24,576,000 "
Utica Nostrand Junction Capacity Improvement,"Cost: Right-of-Way (ROW), Land, and Existing Improvements",$0 
Utica Nostrand Junction Capacity Improvement,Cost: Professional Services,"$106,894,000 "
Utica Nostrand Junction Capacity Improvement,Cost: Contingency,"$34,206,000 "
Utica Nostrand Junction Capacity Improvement,Cost: Original Estimate Year,2020
Utica Nostrand Junction Capacity Improvement,Cost: Escalation from original estimate year to Q1 2022 (varies),"$35,525,000 "
Utica Nostrand Junction Capacity Improvement,Cost: Escalation from Q1 2022 to Q3 2027,"$70,916,000 "
Utica Nostrand Junction Capacity Improvement,Cost: Escalation from Q1 2023 to Q3 2027,N/A
Utica Nostrand Junction Capacity Improvement,Network Leverage: % on MTA Right of Way,100%
Utica Nostrand Junction Capacity Improvement,Network Leverage: % on Public Right of Way,0%
Utica Nostrand Junction Capacity Improvement,Network Leverage: % on Private Right of Way,0%
W to Red Hook,Description,"Extension of the W line from Whitehall Street in Manhattan through the Montague Street Tunnel to Red Hook, Brooklyn with three additional new stations at Columbia St, Atlantic Basin, and Red Hook."
W to Red Hook,Objectives,Increase service and transit options for communities in Red Hook; reduce travel times between Red Hook and Lower Manhattan; and provide opportunities for development and growth near stations.
W to Red Hook,Total Construction Cost ($2027),"$11,210,000,000 "
W to Red Hook,Cost: Vehicles ($2027),"$295,050,000 "
W to Red Hook,Annual O&M Cost ($2027),"$68,000,000 "
W to Red Hook,Daily Riders (2045),"7,600"
W to Red Hook,New Daily Riders (2045),100
W to Red Hook,Equity Area Riders (2045),"1,740"
W to Red Hook,Travel Time Saved Per Trip (minutes),2.4
W to Red Hook,Cost/Time Saved metric,Cost/minute
W to Red Hook,Cost/Time Saved result,$90.46 
W to Red Hook,Cost/Time Saved score,0
W to Red Hook,Equity metric,Percent
W to Red Hook,Equity result,22.80%
W to Red Hook,Equity score,0
W to Red Hook,Sustainability metric,Change in daily vehicle miles traveled
W to Red Hook,Sustainability result,"-1,154"
W to Red Hook,Sustainability score,23
W to Red Hook,Resiliency metric,Number of Rail Connections
W to Red Hook,Resiliency result,0
W to Red Hook,Resiliency score,0
W to Red Hook,Capacity metric,Change in passenger hours
W to Red Hook,Capacity result,"-8,012"
W to Red Hook,Capacity score,100
W to Red Hook,Geographic distribution metric,Change in hours
W to Red Hook,Geographic distribution result,"-1,297"
W to Red Hook,Geographic distribution score,4
W to Red Hook,Network leverage metric,Percent
W to Red Hook,Network leverage result,0.65
W to Red Hook,Network leverage score,53
W to Red Hook,Cost: Guideway and Track Elements,"$1,684,409,000 "
W to Red Hook,"Cost: Stations, Stops, Terminals, Intermodal","$824,382,000 "
W to Red Hook,Cost: Support Facilities,"$3,505,000 "
W to Red Hook,Cost: Sitework and Special Considerations,"$1,847,222,000 "
W to Red Hook,Cost: Systems,"$151,806,000 "
W to Red Hook,Cost: Engineering Contingency,"$796,116,000 "
W to Red Hook,"Cost: Right-of-Way (ROW), Land, and Existing Improvements",$0 
W to Red Hook,Cost: Professional Services,"$1,353,397,000 "
W to Red Hook,Cost: Contingency,"$1,061,488,000 "
W to Red Hook,Cost: Original Estimate Year,2018
W to Red Hook,Cost: Escalation from original estimate year to Q1 2022 (varies),"$1,557,593,000 "
W to Red Hook,Cost: Escalation from Q1 2022 to Q3 2027,"$1,932,933,000 "
W to Red Hook,Cost: Escalation from Q1 2023 to Q3 2027,N/A
W to Red Hook,Network Leverage: % on MTA Right of Way,30%
W to Red Hook,Network Leverage: % on Public Right of Way,70%
W to Red Hook,Network Leverage: % on Private Right of Way,0%
